X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel)
788,467,20,60,410.47297297297297,43.91891891891892,N/A,N/A,N/A,N/A,37,1.6891891891891893
808,407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,1.6891891891891893
