X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel)
964,547,21,63,4410,13230,N/A,N/A,N/A,N/A,37,210
985,484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,210
