Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,90,88,0,0,0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
1,90,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
2,90,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
3,91,88,1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
4,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
5,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
6,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
7,90,88,-1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
8,91,88,1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
9,90,88,-1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
10,91,88,1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
11,90,88,-1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
12,91,88,1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
13,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
14,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
15,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
16,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
17,90,88,-1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
18,91,88,1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
19,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
20,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
21,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
22,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
23,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
24,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
25,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
26,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
27,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
28,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
29,90,88,-1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
30,91,88,1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
31,90,88,-1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
32,91,88,1,0,1.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
33,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
34,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
35,91,88,0,0,0.0,231.51166194551791,30,609.9280297756195,30,7.7170553981839305
