Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,95,120,0,0,0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
1,97,121,2,1,2.23606797749979,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
2,94,120,-3,-1,3.1622776601683795,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
3,98,120,4,0,4.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
4,95,120,-3,0,3.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
5,97,120,2,0,2.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
6,94,120,-3,0,3.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
7,98,121,4,1,4.123105625617661,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
8,96,120,-2,-1,2.23606797749979,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
9,97,121,1,1,1.4142135623730951,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
10,97,120,0,-1,1.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
11,97,121,0,1,1.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
12,98,120,1,-1,1.4142135623730951,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
13,94,120,-4,0,4.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
14,97,120,3,0,3.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
15,95,120,-2,0,2.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
16,97,121,2,1,2.23606797749979,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
17,93,120,-4,-1,4.123105625617661,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
18,97,120,4,0,4.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
19,95,120,-2,0,2.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
20,97,121,2,1,2.23606797749979,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
21,94,120,-3,-1,3.1622776601683795,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
22,97,120,3,0,3.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
23,93,120,-4,0,4.0,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
24,97,121,4,1,4.123105625617661,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
25,94,120,-3,-1,3.1622776601683795,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
26,97,121,3,1,3.1622776601683795,38.50189423851569,30,77.7271556854248,30,1.2833964746171895
