Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,97,90,0,0,0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
1,98,91,1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
2,97,91,-1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
3,98,91,1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
4,98,91,0,0,0.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
5,96,90,-2,-1,2.23606797749979,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
6,97,91,1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
7,98,91,1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
8,97,91,-1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
9,96,90,-1,-1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
10,96,91,0,1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
11,98,91,2,0,2.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
12,97,91,-1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
13,97,90,0,-1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
14,98,91,1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
15,98,91,0,0,0.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
16,97,91,-1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
17,98,91,1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
18,98,91,0,0,0.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
19,98,91,0,0,0.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
20,98,90,0,-1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
21,97,91,-1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
22,96,90,-1,-1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
23,96,91,0,1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
24,97,90,1,-1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
25,96,91,-1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
26,97,90,1,-1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
27,97,91,0,1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
28,97,90,0,-1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
29,98,91,1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
30,99,91,1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
31,98,91,-1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
32,98,91,0,0,0.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
33,98,91,0,0,0.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
34,97,91,-1,0,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
35,97,90,0,-1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
36,97,91,0,1,1.0,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
37,96,90,-1,-1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
38,97,91,1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
39,96,90,-1,-1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
40,97,91,1,1,1.4142135623730951,230.9194811344103,30,568.8448865413666,30,7.6973160378136765
